,,,10,0.9,0.005,0.5,250
-67.64,-112,75,,,,,
41.665,-101,86,,,,,
50.665,-100,96,,,,,
53.47,-101,107,,,,,
53.075,-101,118,,,,,
78.87,-119,128,,,,,
81.53,-132,139,,,,,
66.275,-129,150,,,,,
24.66,-97,160,,,,,
41.3,-88,170,,,,,
34.385,-77,181,,,,,
44.67,-77,191,,,,,
60.51,-88,201,,,,,
100.225,-123,212,,,,,
72.15,-125,222,,,,,
68.165,-123,232,,,,,
22.81,-89,243,,,,,
53.855,-89,253,,,,,
52.895,-88,264,,,,,
55.64,-89,274,,,,,
52.375,-87,285,,,,,
64.445,-94,295,,,,,
48.78,-87,306,,,,,
47.085,-81,316,,,,,
52.89,-81,326,,,,,
51.89,-80,337,,,,,
43.355,-73,347,,,,,
51.425,-74,358,,,,,
60.73,-81,368,,,,,
60.455,-85,378,,,,,
61.495,-88,389,,,,,
97.17,-115,400,,,,,
90.305,-127,411,,,,,
64.685,-116,421,,,,,
58.305,-104,432,,,,,
69.625,-104,442,,,,,
70.145,-104,453,,,,,
70.665,-104,464,,,,,
90.855,-118,475,,,,,
81.655,-120,486,,,,,
94.505,-130,496,,,,,
67.89,-117,507,,,,,
67.53,-108,517,,,,,
76.17,-108,528,,,,,
76.71,-108,539,,,,,
78.655,-109,549,,,,,
119.045,-138,560,,,,,
93.635,-138,571,,,,,
77.465,-126,581,,,,,
65.01,-109,591,,,,,
79.45,-108,602,,,,,
76.675,-105,612,,,,,
84.115,-108,623,,,,,
112.865,-130,634,,,,,
95.12,-131,644,,,,,
93.47,-130,655,,,,,
75.35,-116,665,,,,,
68.86,-102,675,,,,,
80.565,-101,685,,,,,
81.97,-101,696,,,,,
65.615,-89,706,,,,,
76.86,-89,717,,,,,
77.305,-89,727,,,,,
77.75,-89,738,,,,,
78.195,-89,749,,,,,
88.475,-96,760,,,,,
82.655,-96,770,,,,,
84.54,-97,781,,,,,
137.515,-135,791,,,,,
120.85,-147,802,,,,,
110.785,-147,812,,,,,
93.255,-134,824,,,,,
74.715,-112,835,,,,,
93.67,-111,845,,,,,
92.315,-109,855,,,,,
51.105,-78,866,,,,,
77.99,-77,876,,,,,
59.605,-63,886,,,,,
78.14,-67,897,,,,,
128.265,-105,907,,,,,
111.45,-117,918,,,,,
99.83,-116,928,,,,,
85.855,-105,938,,,,,
63.965,-82,949,,,,,
83.67,-81,959,,,,,
86.38,-82,970,,,,,
85.89,-82,980,,,,,
212.75,-172,990,,,,,
132.61,-172,1001,,,,,
133.47,-172,1011,,,,,
27.55,-96,1021,,,,,
95.025,-95,1032,,,,,
96.4,-95,1042,,,,,
98.28,-96,1053,,,,,
124.555,-115,1064,,,,,
122.9,-126,1074,,,,,
97.6,-115,1085,,,,,
104.7,-113,1095,,,,,
75.7,-91,1106,,,,,
95.5,-91,1117,,,,,
95.5,-91,1127,,,,,
95.5,-91,1138,,,,,
96.9,-92,1148,,,,,
107.2,-100,1159,,,,,
100,-100,1169,,,,,
116.8,-112,1180,,,,,
122.8,-124,1191,,,,,
112,-124,1202,,,,,
112,-124,1213,,,,,
140,-144,1223,,,,,
133.2,-152,1233,,,,,
110.6,-141,1244,,,,,
63.1,-100,1255,,,,,
100,-100,1265,,,,,
100,-100,1276,,,,,
100,-100,1286,,,,,
132.2,-123,1296,,,,,
124.1,-132,1307,,,,,
121.6,-136,1317,,,,,
102.6,-125,1328,,,,,
78.9,-101,1338,,,,,
90.7,-94,1349,,,,,
91.4,-90,1359,,,,,
92.2,-88,1369,,,,,
95.4,-89,1379,,,,,
93.1,-88,1390,,,,,
95.4,-89,1400,,,,,
137.9,-120,1411,,,,,
128.2,-133,1421,,,,,
120.7,-136,1432,,,,,
108.2,-129,1442,,,,,
